epochs,train_loss,val_loss,train_accuracy,val_accuracy,lr
1,0.826922595500946,1.002129316329956,0.5081250071525574,0.4937500059604645,0.001
2,0.7130927443504333,0.735978901386261,0.5210937261581421,0.512499988079071,0.001
3,0.6903579831123352,0.6659396290779114,0.5659375190734863,0.6131250262260437,0.001
4,0.658919095993042,0.687221348285675,0.5992187261581421,0.5887500047683716,0.001
5,0.6578004956245422,0.6762552857398987,0.6126562356948853,0.5806249976158142,0.001
6,0.6640304327011108,0.6661946177482605,0.600781261920929,0.5993750095367432,0.00090000004
7,0.6441577076911926,0.6334314942359924,0.6317187547683716,0.6506249904632568,0.00090000004
8,0.6411359906196594,0.6290744543075562,0.6299999952316284,0.6481249928474426,0.00090000004
9,0.629431962966919,0.6124182939529419,0.6553124785423279,0.6637499928474426,0.00090000004
10,0.6144520044326782,0.6623111963272095,0.671093761920929,0.6481249928474426,0.00090000004
11,0.6063404679298401,0.5908572673797607,0.6754687428474426,0.6974999904632568,0.00090000004
12,0.5995175838470459,0.6578906774520874,0.6892187595367432,0.6212499737739563,0.00090000004
13,0.5856518149375916,0.5600638389587402,0.6942187547683716,0.7149999737739563,0.00090000004
14,0.57415771484375,0.5854292511940002,0.7056249976158142,0.690625011920929,0.00090000004
15,0.5634759664535522,0.5400837659835815,0.7123437523841858,0.737500011920929,0.00090000004
16,0.5481519103050232,0.5130437612533569,0.7307812571525574,0.7637500166893005,0.00090000004
17,0.5437541007995605,0.5800647139549255,0.7310937643051147,0.7068750262260437,0.00090000004
18,0.5400387644767761,0.5248594284057617,0.733593761920929,0.7406250238418579,0.00090000004
19,0.5217056274414062,0.5386226177215576,0.7442187666893005,0.7287499904632568,0.00081000006
20,0.5078758597373962,0.5063270330429077,0.7520312666893005,0.7387499809265137,0.00081000006
21,0.49601253867149353,0.46791279315948486,0.7623437643051147,0.7774999737739563,0.00081000006
22,0.47244811058044434,0.4859130084514618,0.7759374976158142,0.7581250071525574,0.00081000006
23,0.44950658082962036,0.42832687497138977,0.7934374809265137,0.8106250166893005,0.00081000006
24,0.4333096742630005,0.41613805294036865,0.7946875095367432,0.8125,0.00081000006
25,0.4181828200817108,0.3784842789173126,0.8070312738418579,0.8212500214576721,0.00081000006
